,год,ВСЕГО,ЖЕНЩИН,"Незанятые граждане,ищущие работу",РАБОТНИКОВ С/Х,РАБОЧИХ,СЛУЖАЩИХ,Трудоспос. население в трудоспос. Возрасте,освобождено от уг отв,привлечено к уголовной отв
Хабарский,2015.0,187.0,25.0,435.0,10.0,38.0,4.0,11732.0,65.0,122.0
Хабарский,2016.0,198.0,19.0,400.0,29.0,55.0,1.0,11400.0,62.0,136.0
Хабарский,2017.0,172.0,12.0,386.0,5.0,42.0,0.0,11192.0,56.0,116.0
Хабарский,2018.0,176.0,21.0,377.0,5.0,36.0,1.0,10606.0,52.0,124.0
Хабарский,2019.0,188.0,29.0,347.0,3.0,54.0,4.0,10729.0,76.0,112.0
Целинный,2015.0,243.0,37.0,230.0,0.0,47.0,1.0,7716.0,130.0,113.0
Целинный,2016.0,223.0,32.0,206.0,0.0,31.0,0.0,7554.0,121.0,102.0
Целинный,2017.0,208.0,22.0,201.0,1.0,37.0,1.0,7328.0,109.0,98.0
Целинный,2018.0,189.0,15.0,220.0,0.0,35.0,1.0,6907.0,85.0,103.0
Целинный,2019.0,193.0,22.0,219.0,0.0,34.0,2.0,6880.0,85.0,107.0
Чарышский,2015.0,122.0,15.0,230.0,3.0,32.0,1.0,6880.0,55.0,67.0
Чарышский,2016.0,136.0,15.0,239.0,0.0,34.0,1.0,6607.0,52.0,84.0
Чарышский,2017.0,142.0,15.0,200.0,0.0,18.0,4.0,6389.0,50.0,92.0
Чарышский,2018.0,125.0,14.0,196.0,1.0,21.0,1.0,5918.0,56.0,68.0
Чарышский,2019.0,111.0,11.0,184.0,0.0,19.0,2.0,5900.0,47.0,64.0
Шелаболихинский,2015.0,165.0,19.0,197.0,3.0,41.0,1.0,7396.0,78.0,87.0
Шелаболихинский,2016.0,164.0,25.0,203.0,1.0,44.0,1.0,7230.0,63.0,96.0
Шелаболихинский,2017.0,115.0,24.0,211.0,2.0,26.0,1.0,7049.0,41.0,74.0
Шелаболихинский,2018.0,147.0,15.0,163.0,0.0,29.0,0.0,6681.0,59.0,88.0
Шелаболихинский,2019.0,137.0,14.0,206.0,0.0,22.0,0.0,6743.0,55.0,82.0
Бийск,2015.0,1665.0,288.0,276.0,1.0,316.0,31.0,5803.0,677.0,988.0
Бийск,2016.0,1794.0,227.0,257.0,0.0,314.0,37.0,5555.0,704.0,1078.0
Бийск,2017.0,1621.0,207.0,229.0,1.0,313.0,24.0,5374.0,521.0,1097.0
Бийск,2018.0,1562.0,237.0,232.0,1.0,330.0,24.0,4806.0,480.0,1077.0
Бийск,2019.0,1576.0,258.0,220.0,1.0,358.0,28.0,4812.0,488.0,1078.0
Заринск,2015.0,496.0,85.0,391.0,0.0,111.0,4.0,7724.0,247.0,249.0
